time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010461349642	45.3552	16.533	3.16094	0.639055	0.111772	radar	6.94911e-308	45.649	16.5213	45.4265	16.3307	2.64546	1.29701
1477010462349642	48.1338	17.3345	2.64737	0.280353	-0.180088	lidar	3.15985	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	48.1338	17.3345	2.64737	0.280353	-0.180088	radar	6.94911e-308	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.6299	18.9938	2.88186	0.654347	0.172931	lidar	4.36326	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	50.6299	18.9938	2.88186	0.654347	0.172931	radar	6.94911e-308	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	53.6771	19.9475	2.98947	0.233648	-0.192314	lidar	4.42779	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	53.6771	19.9475	2.98947	0.233648	-0.192314	radar	6.94911e-308	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	56.0516	21.0552	2.55159	0.377811	0.0151151	lidar	1.6894	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	56.0516	21.0552	2.55159	0.377811	0.0151151	radar	6.94911e-308	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	58.6495	21.7977	2.76508	0.253382	-0.0729262	lidar	0.327767	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	58.6495	21.7977	2.76508	0.253382	-0.0729262	radar	6.94911e-308	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	60.8879	22.7658	2.43434	0.391524	0.0548654	lidar	0.684697	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
1477010467349642	60.8879	22.7658	2.43434	0.391524	0.0548654	radar	6.94911e-308	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
1477010468349642	63.3657	23.4304	2.60474	0.245516	-0.0695344	lidar	0.572928	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
1477010468349642	63.3657	23.4304	2.60474	0.245516	-0.0695344	radar	6.94911e-308	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
1477010469349642	66.3231	23.9955	3.12832	0.14499	-0.0868326	lidar	0.376174	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
1477010469349642	66.3231	23.9955	3.12832	0.14499	-0.0868326	radar	6.94911e-308	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
1477010470349642	68.3002	24.3554	1.96054	0.12256	-0.0473223	lidar	1.86951	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
1477010470349642	68.3002	24.3554	1.96054	0.12256	-0.0473223	radar	6.94911e-308	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
1477010471349642	70.8078	24.8553	2.65497	0.224142	0.045691	lidar	0.976841	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
1477010471349642	70.8078	24.8553	2.65497	0.224142	0.045691	radar	6.94911e-308	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395
1477010472349642	72.9051	24.7478	2.01241	-0.0214576	-0.121753	lidar	1.41444	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
1477010472349642	72.9051	24.7478	2.01241	-0.0214576	-0.121753	radar	6.94911e-308	73.0732	25.0343	72.9675	25.025	2.13584	0.150292
1477010473349642	74.994	25.2002	2.10981	0.220859	0.100942	lidar	1.82272	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
1477010473349642	74.994	25.2002	2.10981	0.220859	0.100942	radar	6.94911e-308	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626
1477010474349642	77.1094	24.9848	2.03911	-0.117692	-0.151919	lidar	2.09926	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
1477010474349642	77.1094	24.9848	2.03911	-0.117692	-0.151919	radar	6.94911e-308	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978
1477010475349642	79.1032	25.0045	2.01467	-0.0342876	-0.0150983	lidar	0.639864	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
1477010475349642	79.1032	25.0045	2.01467	-0.0342876	-0.0150983	radar	6.94911e-308	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607
1477010476349642	80.8162	24.8732	1.74796	-0.0867091	-0.0355724	lidar	0.109378	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536
1477010476349642	80.8162	24.8732	1.74796	-0.0867091	-0.0355724	radar	6.94911e-308	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536
1477010477349642	82.6178	24.6437	1.87821	-0.148596	-0.0505032	lidar	0.0305025	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012
1477010477349642	82.6178	24.6437	1.87821	-0.148596	-0.0505032	radar	6.94911e-308	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012
1477010478349642	84.1804	24.5358	1.58473	-0.0987137	0.00547153	lidar	0.216912	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444
